Session,Life,Chimp,CSPCB,CgroomCB,COASCB,HSPCB,HgroomCB,HOASCB,NASCB,OtherCB,AbCB,TrCB,InCB,Session,CSPHB,CgroomHB,COASHB,HSPHB,HgroomHB,HOASHB,NASHB,OtherHB,AbHB,TrHB,InHB
1521,MOM,Magic,0,537,0,0,0,0,0,0,0,34,10,1543,0,0,0,0,0,0,0,68,0,13,518
1719,MOM,Magic,0,0,0,0,570,11,0,0,19,0,0,1694,0,0,0,0,0,259,0,102,0,42,186
1669,MOM,Magic,0,0,0,0,73,107,13,65,0,73,257,1706,0,0,0,35,468,0,0,0,0,0,93
1522,PET,Susie,0,0,3,0,94,100,15,0,0,74,312,1645,0,0,4,20,0,418,0,4,0,28,125
1756,PET,Susie,0,0,0,0,163,119,149,0,0,32,136,1732,0,0,0,0,7,61,49,307,0,124,37
1769,PET,Jacob,0,0,0,246,211,117,12,0,0,0,13,1545,0,0,0,0,102,238,91,0,0,82,79
1793,PET,Jacob,0,0,0,0,324,19,77,0,0,78,93,1745,0,0,0,70,443,87,0,0,0,0,0
1588,NURSE,Selina,0,0,0,0,361,111,0,0,0,16,84,1544,0,0,0,64,122,414,0,0,0,0,0
1658,NURSE,Selina,0,0,0,409,43,88,0,0,0,0,11,1670,0,0,0,10,86,133,0,0,0,135,235
1718,NURSE,Selina,0,0,0,161,196,219,0,0,0,0,24,1708,0,0,0,63,236,300,0,0,0,0,0
1646,NURSE,Mocha,0,0,0,0,425,56,0,120,0,0,0,1744,0,0,0,142,281,149,6,0,0,0,19
1730,NURSE,Mocha,0,0,0,124,117,290,0,24,0,30,10,1780,0,0,0,375,80,60,0,0,0,26,52
1647,EARLY,Shauri,0,11,0,0,492,64,0,0,0,0,33,1520,0,0,0,0,43,175,208,36,0,63,72
1671,EARLY,Shauri,0,0,0,0,82,59,11,425,0,18,4,1695,0,0,0,0,305,248,0,0,0,9,32
1707,EARLY,Shauri,0,0,0,0,437,101,0,55,0,0,0,1720,0,71,0,0,278,73,15,0,0,38,119
1743,EARLY,Mystery,0,0,0,0,11,0,374,0,0,17,165,1657,0,0,6,0,332,58,80,0,11,80,34
1757,EARLY,Mystery,0,0,23,0,15,104,244,0,0,73,103,1791,0,0,0,0,22,115,0,0,0,68,394
1659,LATE,Mouse,0,0,0,472,0,67,0,8,0,0,54,1768,0,0,91,197,0,90,48,17,0,59,79
1792,LATE,Mouse,0,0,0,24,355,94,0,0,0,0,124,1781,0,0,7,391,0,88,0,0,0,57,55
1731,LATE,Maude,0,0,0,29,30,69,80,94,0,151,120,1755,0,0,0,105,0,232,0,263,0,0,0
1779,LATE,Maude,0,64,0,0,465,65,0,0,0,0,5,1767,0,0,0,293,61,62,0,0,0,31,146