Condition,Session,Life,Chimp,CSP,Cgroom,COAS,HSP,Hgroom,HOAS,NAS,Other,Ab,Tr,In,Session,CSPMC,CgroomMC,COASMC,HSPMC,HgroomMC,HOASMC,NASMC,OtherMC,AbMC,TrMC,InMC
CB,1521,MOM,Magic,0,537,0,0,0,0,0,0,0,34,10,1527,0,222,0,0,0,0,0,263,0,38,35
CB,1522,PET,Susie,0,0,3,0,94,100,15,0,0,74,312,1528,0,0,0,0,0,65,0,74,0,21,430
CB,1588,NURSE,Selina,0,0,0,0,361,111,0,0,0,16,84,1594,0,14,0,0,0,0,0,0,0,0,582
CB,1646,NURSE,Mocha,0,0,0,0,425,56,0,120,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,597
CB,1647,EARLY,Shauri,0,11,0,0,492,64,0,0,0,0,33,1653,0,0,0,0,0,0,0,0,0,0,597
CB,1658,NURSE,Selina,0,0,0,409,43,88,0,0,0,0,11,1664,0,0,0,0,0,82,0,0,0,4,367
CB,1659,LATE,Mouse,0,0,0,472,0,67,0,8,0,0,54,1665,0,0,0,0,0,0,0,0,483,0,112
CB,1669,MOM,Magic,0,0,0,0,73,107,13,65,0,73,257,1688,0,0,0,0,0,0,0,510,0,33,56
CB,1671,EARLY,Shauri,0,0,0,0,82,59,11,425,0,18,4,1690,0,0,0,0,0,0,0,0,0,6,592
CB,1707,EARLY,Shauri,0,0,0,0,437,101,0,55,0,0,0,1713,0,0,0,0,0,0,0,0,0,45,553
CB,1718,NURSE,Selina,0,0,0,161,196,219,0,0,0,0,24,1724,0,0,0,0,0,0,0,0,0,16,582
CB,1719,MOM,Magic,0,0,0,0,570,11,0,0,19,0,0,1725,0,0,0,0,0,0,0,67,60,0,472
CB,1730,NURSE,Mocha,0,0,0,124,117,290,0,24,0,30,10,1736,143,0,0,0,0,213,0,24,53,23,56
CB,1731,LATE,Maude,0,0,0,29,30,69,80,94,0,151,120,1737,0,0,0,0,0,0,0,16,0,17,564
CB,1743,EARLY,Mystery,0,0,0,0,11,0,374,0,0,17,165,1749,0,0,0,0,0,0,0,374,46,23,155
CB,1756,PET,Susie,0,0,0,0,163,119,149,0,0,32,136,1762,0,0,0,0,0,3,0,0,0,3,591
CB,1757,EARLY,Mystery,0,0,23,0,15,104,244,0,0,73,103,1763,0,0,0,0,0,0,0,0,0,0,597
CB,1769,PET,Jacob,0,0,0,246,211,117,12,0,0,0,13,1775,0,0,0,0,4,10,0,559,0,0,23
CB,1779,LATE,Maude,0,64,0,0,465,65,0,0,0,0,5,1785,0,596,0,0,0,0,0,0,0,0,0
CB,1792,LATE,Mouse,0,0,0,24,355,94,0,0,0,0,124,1798,0,0,0,0,0,0,0,593,0,0,0
CB,1793,PET,Jacob,0,0,0,0,324,19,77,0,0,78,93,1799,0,0,0,0,0,0,0,268,0,92,237
HB,1520,EARLY,Shauri,0,0,0,0,43,175,208,36,0,63,72,1526,0,0,14,0,0,0,0,209,0,90,280
HB,1543,MOM,Magic,0,0,0,0,0,0,0,68,0,13,518,1549,0,0,0,0,0,0,0,77,0,69,351
HB,1544,NURSE,Selina,0,0,0,64,122,414,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,30,562
HB,1545,PET,Jacob,0,0,0,0,102,238,91,0,0,82,79,1551,0,0,0,0,0,0,213,0,0,52,317
HB,1645,PET,Susie,0,0,4,20,0,418,0,4,0,28,125,1651,0,0,0,0,0,14,0,0,0,128,430
HB,1657,EARLY,Mystery,0,0,6,0,332,58,80,0,11,80,34,1663,0,0,0,0,0,0,0,0,0,0,598
HB,1670,NURSE,Selina,0,0,0,10,86,133,0,0,0,135,235,1689,0,0,0,0,0,19,0,0,0,18,558
HB,1694,MOM,Magic,0,0,0,0,0,259,0,102,0,42,186,1700,0,0,0,0,0,0,0,0,0,0,597
HB,1695,EARLY,Shauri,0,0,0,0,305,248,0,0,0,9,32,1701,0,0,0,0,0,0,0,77,0,52,442
HB,1706,MOM,Magic,0,0,0,35,468,0,0,0,0,0,93,1712,0,0,0,0,0,0,0,133,25,0,440
HB,1708,NURSE,Selina,0,0,0,63,236,300,0,0,0,0,0,1714,0,0,0,0,0,75,0,0,0,38,484
HB,1720,EARLY,Shauri,0,71,0,0,278,73,15,0,0,38,119,1726,0,0,0,0,0,0,0,234,0,30,330
HB,1732,PET,Susie,0,0,0,0,7,61,49,307,0,124,37,1739,0,20,0,0,0,0,8,204,0,141,217
HB,1744,NURSE,Mocha,0,0,0,142,281,149,6,0,0,0,19,1750,0,54,5,0,0,5,0,61,0,130,262
HB,1745,PET,Jacob,0,0,0,70,443,87,0,0,0,0,0,1751,0,0,0,0,0,0,0,377,0,4,217
HB,1755,LATE,Maude,0,0,0,105,0,232,0,263,0,0,0,1761,0,0,0,0,0,0,0,0,0,0,597
HB,1767,LATE,Maude,0,0,0,293,61,62,0,0,0,31,146,1773,0,0,0,0,0,0,0,0,0,0,597
HB,1768,LATE,Mouse,0,0,91,197,0,90,48,17,0,59,79,1774,0,0,0,0,0,0,0,574,0,0,21
HB,1780,NURSE,Mocha,0,0,0,375,80,60,0,0,0,26,52,1786,0,17,7,0,0,0,0,0,5,51,517
HB,1781,LATE,Mouse,0,0,7,391,0,88,0,0,0,57,55,1787,0,0,0,0,0,0,0,0,46,0,552
HB,1791,EARLY,Mystery,0,0,0,0,22,115,0,0,0,68,394,1797,0,0,0,0,0,0,0,597,0,0,0