Life,Chimp,Session,SocialPlayCB,GroomCB,OtherAffCB,AggressionCB,NonIntCB,AbnormalCB,TravelCB,InactiveCB,Session2,SocialPlayHB,GroomHB,OtherAffHB,AggressionHB,NonIntHB,AbnormalHB,TravelHB,InactiveHB
MOM,Magic,1524,0,0,0,0,462,0,0,134,1546,0,3,7,0,0,0,185,297
MOM,Magic,1672,0,0,0,0,314,0,19,148,1697,0,0,0,0,303,0,52,242
MOM,Magic,1722,0,108,0,0,0,450,7,33,1709,0,0,0,0,164,123,0,306
PET,Susie,1525,0,0,0,6,571,0,20,0,1648,0,0,4,0,527,0,62,4
PET,Susie,1759,0,0,55,13,41,0,122,366,1735,0,0,0,0,310,0,219,55
PET,Jacob,1772,0,0,8,41,524,0,7,15,1548,0,0,0,42,323,0,32,185
PET,Jacob,1796,0,0,0,0,76,0,4,515,1748,0,0,0,0,373,0,64,163
NURSE,Selina,1592,0,0,0,0,0,0,0,597,1547,0,0,0,0,0,0,29,562
NURSE,Selina,1661,0,0,0,0,0,0,0,594,1673,0,0,39,0,0,0,0,558
NURSE,Selina,1721,0,0,10,0,552,0,7,25,1711,0,532,0,0,0,0,0,60
NURSE,Mocha,1649,0,0,0,0,0,0,26,572,1747,0,0,0,0,0,0,0,597
NURSE,Mocha,1733,0,0,0,0,281,0,20,48,1783,0,0,12,0,358,6,69,138
EARLY,Shauri,1650,0,0,0,23,412,0,0,162,1523,0,0,7,0,365,0,28,198
EARLY,Shauri,1674,0,497,0,0,0,0,0,98,1698,0,0,0,0,305,0,15,242
EARLY,Shauri,1710,0,0,0,0,227,0,0,370,1723,0,592,0,0,0,0,0,5
EARLY,Mystery,1746,0,0,0,0,163,0,0,436,1660,0,0,0,0,0,0,13,584
EARLY,Mystery,1760,0,0,2,0,471,0,85,15,1794,0,0,0,0,0,0,79,517
LATE,Mouse,1662,0,0,0,0,0,0,0,597,1771,0,0,0,0,0,0,0,598
LATE,Mouse,1795,0,0,27,0,174,22,24,345,1784,0,0,61,0,0,0,0,535
LATE,Maude,1734,0,0,11,5,564,0,0,18,1758,0,596,0,0,0,0,0,0
LATE,Maude,1782,0,0,34,9,451,0,51,52,1770,0,0,4,0,0,0,32,551