Condition,Session ID,Chimp,CAfCB,HAfCB,NASCB,OtherCB,AbCB,TrCB,InCB,Condition,Session ID,CAfHB,HAfHB,NASHB,OtherHB,AbHB,TrHB,InHB
CB,1521,Magic,537,0,0,0,0,34,10,HB,1543,0,0,0,68,0,13,518
CB,1669,Magic,0,180,13,65,0,73,257,HB,1694,0,259,0,102,0,42,186
CB,1719,Magic,0,581,0,0,19,0,0,HB,1706,0,503,0,0,0,0,93
CB,1522,Susie,194,3,15,0,0,74,312,HB,1645,4,438,0,4,0,28,125
CB,1756,Susie,0,282,149,0,0,32,136,HB,1732,0,68,49,307,0,131,37
CB,1769,Jacob,0,574,12,0,0,0,13,HB,1545,0,340,91,0,0,82,79
CB,1793,Jacob,0,343,77,0,0,78,93,HB,1745,0,600,0,0,0,0,0
CB,1588,Selina,0,472,0,0,0,16,84,HB,1544,0,600,0,0,0,0,0
CB,1658,Selina,0,540,0,0,0,0,11,HB,1670,0,229,0,0,0,135,235
CB,1718,Selina,0,576,0,0,0,0,24,HB,1708,0,599,0,0,0,0,0
CB,1646,Mocha,0,481,0,120,0,0,0,HB,1744,0,572,6,0,0,0,19
CB,1730,Mocha,0,531,0,24,0,30,10,HB,1780,0,515,0,0,0,26,52
CB,1647,Shauri,11,556,0,0,0,0,33,HB,1520,0,218,208,36,0,63,72
CB,1671,Shauri,0,141,11,425,0,18,4,HB,1695,0,553,0,0,0,9,32
CB,1707,Shauri,0,538,0,55,0,0,0,HB,1720,71,351,15,0,0,38,119
CB,1743,Mystery,0,11,374,0,0,17,165,HB,1657,6,390,80,0,11,80,34
CB,1757,Mystery,23,119,244,0,0,73,103,HB,1791,0,137,0,0,0,68,394
CB,1659,Mouse,0,539,0,8,0,0,54,HB,1768,91,287,48,17,0,59,79
CB,1792,Mouse,0,473,0,0,0,0,124,HB,1781,7,479,0,0,0,57,55
CB,1731,Maude,0,128,80,94,0,151,120,HB,1755,0,337,0,263,0,0,0
CB,1779,Maude,64,530,0,0,0,0,5,HB,1767,0,416,0,0,0,31,146