Time,Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive
IT,CB,1521,MOM,Magic,0,0.924268503,0,0,0,0,0.058519793,0.017211704
IT,CB,1522,PET,Susie,0,0.157190635,0.172240803,0.025083612,0,0,0.123745819,0.52173913
IT,CB,1588,NURSE,Selina,0,0.631118881,0.194055944,0,0,0,0.027972028,0.146853147
IT,CB,1646,NURSE,Mocha,0,0.707154742,0.093178037,0,0.199667221,0,0,0
IT,CB,1647,EARLY,Shauri,0,0.838333333,0.106666667,0,0,0,0,0.055
IT,CB,1658,NURSE,Selina,0.742286751,0.078039927,0.159709619,0,0,0,0,0.019963702
IT,CB,1659,LATE,Mouse,0.785357737,0,0.111480865,0,0.013311148,0,0,0.08985025
IT,CB,1669,MOM,Magic,0,0.12414966,0.181972789,0.022108844,0.110544218,0,0.12414966,0.43707483
IT,CB,1671,EARLY,Shauri,0,0.136894825,0.098497496,0.01836394,0.70951586,0,0.030050083,0.006677796
IT,CB,1707,EARLY,Shauri,0,0.73693086,0.170320405,0,0.092748735,0,0,0
IT,CB,1718,NURSE,Selina,0.268333333,0.326666667,0.365,0,0,0,0,0.04
IT,CB,1719,MOM,Magic,0,0.95,0.018333333,0,0,0.031666667,0,0
IT,CB,1730,NURSE,Mocha,0.208403361,0.196638655,0.487394958,0,0.040336134,0,0.050420168,0.016806723
IT,CB,1731,LATE,Maude,0.05061082,0.052356021,0.120418848,0.139616056,0.164048866,0,0.263525305,0.209424084
IT,CB,1743,EARLY,Mystery,0,0.019400353,0,0.659611993,0,0,0.029982363,0.291005291
IT,CB,1756,PET,Susie,0,0.2721202,0.198664441,0.248747913,0,0,0.053422371,0.227045075
IT,CB,1757,EARLY,Mystery,0,0.026690391,0.225978648,0.434163701,0,0,0.129893238,0.183274021
IT,CB,1769,PET,Jacob,0.410684474,0.352253756,0.195325543,0.020033389,0,0,0,0.021702838
IT,CB,1779,LATE,Maude,0,0.883138564,0.10851419,0,0,0,0,0.008347245
IT,CB,1792,LATE,Mouse,0.040201005,0.594639866,0.157453936,0,0,0,0,0.207705193
IT,CB,1793,PET,Jacob,0,0.54822335,0.0321489,0.130287648,0,0,0.131979695,0.157360406
IT,HB,1520,EARLY,Shauri,0,0.072026801,0.293132328,0.34840871,0.060301508,0,0.105527638,0.120603015
IT,HB,1543,MOM,Magic,0,0,0,0,0.113522538,0,0.021702838,0.864774624
IT,HB,1544,NURSE,Selina,0.106666667,0.203333333,0.69,0,0,0,0,0
IT,HB,1545,PET,Jacob,0,0.172297297,0.402027027,0.153716216,0,0,0.138513514,0.133445946
IT,HB,1645,PET,Susie,0.033388982,0,0.704507513,0,0.006677796,0,0.046744574,0.208681135
IT,HB,1657,EARLY,Mystery,0,0.552412646,0.106489185,0.133111481,0,0.018302829,0.133111481,0.056572379
IT,HB,1670,NURSE,Selina,0.016694491,0.143572621,0.222036728,0,0,0,0.225375626,0.392320534
IT,HB,1694,MOM,Magic,0,0,0.439728353,0,0.173174873,0,0.071307301,0.315789474
IT,HB,1695,EARLY,Shauri,0,0.513468013,0.417508418,0,0,0,0.015151515,0.053872054
IT,HB,1706,MOM,Magic,0.058724832,0.785234899,0,0,0,0,0,0.156040268
IT,HB,1708,NURSE,Selina,0.105175292,0.393989983,0.500834725,0,0,0,0,0
IT,HB,1720,EARLY,Shauri,0,0.587542088,0.122895623,0.025252525,0,0,0.063973064,0.2003367
IT,HB,1732,PET,Susie,0,0.011965812,0.104273504,0.083760684,0.524786325,0,0.211965812,0.063247863
IT,HB,1744,NURSE,Mocha,0.237855946,0.470686767,0.24958124,0.010050251,0,0,0,0.031825796
IT,HB,1745,PET,Jacob,0.116666667,0.738333333,0.145,0,0,0,0,0
IT,HB,1755,LATE,Maude,0.175,0,0.386666667,0,0.438333333,0,0,0
IT,HB,1767,LATE,Maude,0.494097808,0.102866779,0.10455312,0,0,0,0.05227656,0.246205734
IT,HB,1768,LATE,Mouse,0.339070568,0,0.311531842,0.082616179,0.029259897,0,0.101549053,0.135972461
IT,HB,1780,NURSE,Mocha,0.63237774,0.134907251,0.101180438,0,0,0,0.043844857,0.087689713
IT,HB,1781,LATE,Mouse,0.653846154,0,0.158862876,0,0,0,0.095317726,0.091973244
IT,HB,1791,EARLY,Mystery,0,0.03672788,0.191986644,0,0,0,0.113522538,0.657762938
CO,CBCO,1524,MOM,Magic,0,0,0,0,0.775167785,0,0,0.224832215
CO,CBCO,1525,PET,Susie,0,0,0,0.010050251,0.956448911,0,0.033500838,0
CO,CBCO,1592,NURSE,Selina,0,0,0,0,0,0,0,1
CO,CBCO,1649,NURSE,Mocha,0,0,0,0,0,0,0.043478261,0.956521739
CO,CBCO,1650,EARLY,Shauri,0,0,0,0.038525963,0.690117253,0,0,0.271356784
CO,CBCO,1661,NURSE,Selina,0,0,0,0,0,0,0,1
CO,CBCO,1662,LATE,Mouse,0,0,0,0,0,0,0,1
CO,CBCO,1672,MOM,Magic,0,0,0,0,0.652806653,0,0.03950104,0.307692308
CO,CBCO,1674,EARLY,Shauri,0,0.835294118,0,0,0,0,0,0.164705882
CO,CBCO,1710,EARLY,Shauri,0,0,0,0,0.380234506,0,0,0.619765494
CO,CBCO,1721,NURSE,Selina,0,0,0.016835017,0,0.929292929,0,0.011784512,0.042087542
CO,CBCO,1722,MOM,Magic,0,0.180602007,0,0,0,0.752508361,0.011705686,0.055183946
CO,CBCO,1733,NURSE,Mocha,0,0,0,0,0.805157593,0,0.05730659,0.137535817
CO,CBCO,1734,LATE,Maude,0,0,0.018394649,0.008361204,0.943143813,0,0,0.030100334
CO,CBCO,1746,EARLY,Mystery,0,0,0,0,0.2721202,0,0,0.7278798
CO,CBCO,1759,PET,Susie,0,0,0.092127303,0.021775544,0.068676717,0,0.204355109,0.613065327
CO,CBCO,1760,EARLY,Mystery,0,0,0.003490401,0,0.821989529,0,0.148342059,0.02617801
CO,CBCO,1772,PET,Jacob,0,0,0.013445378,0.068907563,0.880672269,0,0.011764706,0.025210084
CO,CBCO,1782,LATE,Maude,0,0,0.056951424,0.015075377,0.755443886,0,0.085427136,0.087102178
CO,CBCO,1795,LATE,Mouse,0,0,0.045608108,0,0.293918919,0.037162162,0.040540541,0.58277027
CO,CBCO,1796,PET,Jacob,0,0,0,0,0.127731092,0,0.006722689,0.865546218
CO,HBCO,1523,EARLY,Shauri,0,0,0.011705686,0,0.610367893,0,0.046822742,0.331103679
CO,HBCO,1546,MOM,Magic,0,0.006097561,0.014227642,0,0,0,0.37601626,0.603658537
CO,HBCO,1547,NURSE,Selina,0,0,0,0,0,0,0.049069374,0.950930626
CO,HBCO,1548,PET,Jacob,0,0,0,0.072164948,0.554982818,0,0.054982818,0.317869416
CO,HBCO,1648,PET,Susie,0,0,0.006700168,0,0.882747069,0,0.103852596,0.006700168
CO,HBCO,1660,EARLY,Mystery,0,0,0,0,0,0,0.021775544,0.978224456
CO,HBCO,1673,NURSE,Selina,0,0,0.065326633,0,0,0,0,0.934673367
CO,HBCO,1697,MOM,Magic,0,0,0,0,0.507537688,0,0.087102178,0.405360134
CO,HBCO,1698,EARLY,Shauri,0,0,0,0,0.542704626,0,0.026690391,0.430604982
CO,HBCO,1709,MOM,Magic,0,0,0,0,0.276559865,0.207419899,0,0.516020236
CO,HBCO,1711,NURSE,Selina,0,0.898648649,0,0,0,0,0,0.101351351
CO,HBCO,1723,EARLY,Shauri,0,0.991624791,0,0,0,0,0,0.008375209
CO,HBCO,1735,PET,Susie,0,0,0,0,0.530821918,0,0.375,0.094178082
CO,HBCO,1747,NURSE,Mocha,0,0,0,0,0,0,0,1
CO,HBCO,1748,PET,Jacob,0,0,0,0,0.621666667,0,0.106666667,0.271666667
CO,HBCO,1758,LATE,Maude,0,1,0,0,0,0,0,0
CO,HBCO,1770,LATE,Maude,0,0,0.00681431,0,0,0,0.05451448,0.93867121
CO,HBCO,1771,LATE,Mouse,0,0,0,0,0,0,0,1
CO,HBCO,1783,NURSE,Mocha,0,0,0.02058319,0,0.61406518,0.010291595,0.118353345,0.23670669
CO,HBCO,1784,LATE,Mouse,0,0,0.102348993,0,0,0,0,0.897651007
CO,HBCO,1794,EARLY,Mystery,0,0,0,0,0,0,0.132550336,0.867449664
MC,,1527,MOM,Magic,0,0.397849462,0,0,0.471326165,0,0.068100358,0.062724014
MC,,1528,PET,Susie,0,0,0.110169492,0,0.125423729,0,0.03559322,0.728813559
MC,,1594,NURSE,Selina,0,0.023489933,0,0,0,0,0,0.976510067
MC,,1652,NURSE,Mocha,0,0,0,0,0,0,0,1
MC,,1653,EARLY,Shauri,0,0,0,0,0,0,0,1
MC,,1664,NURSE,Selina,0,0,0.181015453,0,0,0,0.008830022,0.810154525
MC,,1665,LATE,Mouse,0,0,0,0,0,0.811764706,0,0.188235294
MC,,1688,MOM,Magic,0,0,0,0,0.851419032,0,0.05509182,0.093489149
MC,,1690,EARLY,Shauri,0,0,0,0,0,0,0.010033445,0.989966555
MC,,1713,EARLY,Shauri,0,0,0,0,0,0,0.075250836,0.924749164
MC,,1724,NURSE,Selina,0,0,0,0,0,0,0.026755853,0.973244147
MC,,1725,MOM,Magic,0,0,0,0,0.111853088,0.100166945,0,0.787979967
MC,,1736,NURSE,Mocha,0.279296875,0,0.416015625,0,0.046875,0.103515625,0.044921875,0.109375
MC,,1737,LATE,Maude,0,0,0,0,0.02680067,0,0.028475712,0.944723618
MC,,1749,EARLY,Mystery,0,0,0,0,0.62541806,0.076923077,0.038461538,0.259197324
MC,,1762,PET,Susie,0,0,0.005025126,0,0,0,0.005025126,0.989949749
MC,,1763,EARLY,Mystery,0,0,0,0,0,0,0,1
MC,,1775,PET,Jacob,0,0.006711409,0.016778523,0,0.937919463,0,0,0.038590604
MC,,1785,LATE,Maude,0,1,0,0,0,0,0,0
MC,,1798,LATE,Mouse,0,0,0,0,1,0,0,0
MC,,1799,PET,Jacob,0,0,0,0,0.448911223,0,0.154103853,0.396984925
MC,,1526,EARLY,Shauri,0,0,0.023608769,0,0.352445194,0,0.151770658,0.472175379
MC,,1549,MOM,Magic,0,0,0,0,0.154929577,0,0.138832998,0.706237425
MC,,1550,NURSE,Selina,0,0,0,0,0,0,0.050675676,0.949324324
MC,,1551,PET,Jacob,0,0,0,0.365979381,0,0,0.089347079,0.54467354
MC,,1651,PET,Susie,0,0,0.024475524,0,0,0,0.223776224,0.751748252
MC,,1663,EARLY,Mystery,0,0,0,0,0,0,0,1
MC,,1689,NURSE,Selina,0,0,0.031932773,0,0,0,0.030252101,0.937815126
MC,,1700,MOM,Magic,0,0,0,0,0,0,0,1
MC,,1701,EARLY,Shauri,0,0,0,0,0.134851138,0,0.091068301,0.77408056
MC,,1712,MOM,Magic,0,0,0,0,0.222408027,0.04180602,0,0.735785953
MC,,1714,NURSE,Selina,0,0,0.125628141,0,0,0,0.063651591,0.810720268
MC,,1726,EARLY,Shauri,0,0,0,0,0.393939394,0,0.050505051,0.555555556
MC,,1739,PET,Susie,0,0.033898305,0,0.013559322,0.345762712,0,0.238983051,0.36779661
MC,,1750,NURSE,Mocha,0,0.104448743,0.01934236,0,0.117988395,0,0.251450677,0.506769826
MC,,1751,PET,Jacob,0,0,0,0,0.630434783,0,0.006688963,0.362876254
MC,,1761,LATE,Maude,0,0,0,0,0,0,0,1
MC,,1773,LATE,Maude,0,0,0,0,0,0,0,1
MC,,1774,LATE,Mouse,0,0,0,0,0.964705882,0,0,0.035294118
MC,,1786,NURSE,Mocha,0,0.028475712,0.011725293,0,0,0.008375209,0.085427136,0.86599665
MC,,1787,LATE,Mouse,0,0,0,0,0,0.076923077,0,0.923076923
MC,,1797,EARLY,Mystery,0,0,0,0,1,0,0,0
COMC,,1530,MOM,Magic,0,0.252268603,0.186932849,0,0.154264973,0,0.159709619,0.246823956
COMC,,1531,PET,Susie,0,0,0.430088496,0,0,0,0.34159292,0.228318584
COMC,,1597,NURSE,Selina,0,0,0,0,0.023489933,0,0.021812081,0.954697987
COMC,,1655,NURSE,Mocha,0,0,0.360876897,0,0.414839798,0,0.087689713,0.136593592
COMC,,1656,EARLY,Shauri,0,0.031666667,0.39,0,0,0,0.058333333,0.52
COMC,,1667,NURSE,Selina,0,0,0,0,0.403010033,0,0.105351171,0.491638796
COMC,,1668,LATE,Mouse,0,0,0,0,0.396853147,0.078671329,0,0.524475524
COMC,,1691,MOM,Magic,0,0,0,0,0,0.851419032,0.068447412,0.080133556
COMC,,1693,EARLY,Shauri,0,0,0,0,0.859560068,0,0.128595601,0.011844332
COMC,,1716,EARLY,Shauri,0,1,0,0,0,0,0,0
COMC,,1727,NURSE,Selina,0,0,0,0,0.006993007,0,0.068181818,0.924825175
COMC,,1728,MOM,Magic,0,0,0,0,0.528428094,0,0.033444816,0.43812709
COMC,,1740,NURSE,Mocha,0.046901173,0,0,0,0.006700168,0.077051926,0.05360134,0.815745394
COMC,,1741,LATE,Maude,0,0,0.229480737,0,0.095477387,0,0.197654941,0.477386935
COMC,,1752,EARLY,Mystery,0,0,0,0,0.588628763,0.344481605,0,0.066889632
COMC,,1765,PET,Susie,0,0,0.068676717,0.010050251,0.644891122,0,0.239530988,0.036850921
COMC,,1766,EARLY,Mystery,0,0,0,0.024305556,0.197916667,0,0.248263889,0.529513889
COMC,,1778,PET,Jacob,0,0,0.013422819,0.035234899,0.345637584,0,0.156040268,0.44966443
COMC,,1788,LATE,Maude,0,0.015075377,0.041876047,0.035175879,0.343383585,0,0.147403685,0.417085427
COMC,,1801,LATE,Mouse,0,0,0,0,0.675630252,0,0.047058824,0.277310924
COMC,,1802,PET,Jacob,0,0,0,0,0.579831933,0,0.257142857,0.16302521
COMC,,1529,EARLY,Shauri,0,0,0,0,0,0,0,1
COMC,,1552,MOM,Magic,0,0.374781086,0,0,0,0,0.042031524,0.583187391
COMC,,1553,NURSE,Selina,0,0,0,0,0,0,0.06187291,0.93812709
COMC,,1554,PET,Jacob,0,0,0,0.113333333,0,0,0.021666667,0.865
COMC,,1654,PET,Susie,0,0,0.030201342,0,0,0,0.124161074,0.845637584
COMC,,1666,EARLY,Mystery,0,0,0,0,0.021702838,0,0.056761269,0.921535893
COMC,,1692,NURSE,Selina,0,0.069343066,0,0,0,0,0.034671533,0.895985401
COMC,,1703,MOM,Magic,0,0,0,0,0.66442953,0,0.10738255,0.228187919
COMC,,1704,EARLY,Shauri,0,0,0,0,0.437710438,0,0.079124579,0.483164983
COMC,,1715,MOM,Magic,0.008361204,0,0.204013378,0,0.138795987,0.015050167,0,0.633779264
COMC,,1717,NURSE,Selina,0,0,0,0,0,0,0,1
COMC,,1729,EARLY,Shauri,0,0,0,0,0.412060302,0,0.095477387,0.492462312
COMC,,1742,PET,Susie,0,0,0,0,0.838926174,0,0.132550336,0.02852349
COMC,,1753,NURSE,Mocha,0.869346734,0,0,0,0,0,0,0.130653266
COMC,,1754,PET,Jacob,0,0,0.011725293,0,0.036850921,0,0.087102178,0.864321608
COMC,,1764,LATE,Maude,0.068791946,0,0.013422819,0.016778523,0.010067114,0,0.343959732,0.546979866
COMC,,1776,LATE,Maude,0,0,0,0,0.399328859,0,0,0.600671141
COMC,,1777,LATE,Mouse,0,0,0,0,0,0,0.072026801,0.927973199
COMC,,1789,NURSE,Mocha,0,0,0.063651591,0,0.542713568,0,0.24120603,0.152428811
COMC,,1790,LATE,Mouse,0,0,0.010067114,0,0.406040268,0,0.132550336,0.451342282
COMC,,1800,EARLY,Mystery,0,0,0.015202703,0,0.538851351,0,0.038851351,0.407094595