SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO
0,537,0,0,0,0,34,10,0,0,0,0,462,0,0,134
0,94,103,15,0,0,74,312,0,0,0,6,571,0,20,0
0,361,111,0,0,0,16,84,0,0,0,0,0,0,0,597
0,425,56,0,120,0,0,0,0,0,0,0,0,0,26,572
0,503,64,0,0,0,0,33,0,0,0,23,412,0,0,162
409,43,88,0,0,0,0,11,0,0,0,0,0,0,0,594
472,0,67,0,8,0,0,54,0,0,0,0,0,0,0,597
0,73,107,13,65,0,73,257,0,0,0,0,314,0,19,148
0,82,59,11,425,0,18,4,0,497,0,0,0,0,0,98
0,437,101,0,55,0,0,0,0,0,0,0,227,0,0,370
161,196,219,0,0,0,0,24,0,0,10,0,552,0,7,25
0,570,11,0,0,19,0,0,0,108,0,0,0,450,7,33
124,117,290,0,24,0,30,10,0,0,0,0,281,0,20,48
29,30,69,80,94,0,151,120,0,0,11,5,564,0,0,18
0,11,0,374,0,0,17,165,0,0,0,0,163,0,0,436
0,163,119,149,0,0,32,136,0,0,55,13,41,0,122,366
0,15,127,244,0,0,73,103,0,0,2,0,471,0,85,15
246,211,117,12,0,0,0,13,0,0,8,41,524,0,7,15
0,529,65,0,0,0,0,5,0,0,34,9,451,0,51,52
24,355,94,0,0,0,0,124,0,0,27,0,174,22,24,345
0,324,19,77,0,0,78,93,0,0,0,0,76,0,4,515