SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,SocialPlayMC,GroomMC,OtherAffMC,AggressionMC,NonIntMC,AbnormalMC,TravelMC,InactiveMC
0,537,0,0,0,0,34,10,0,222,0,0,263,0,38,35
0,94,103,15,0,0,74,312,0,0,65,0,74,0,21,430
0,361,111,0,0,0,16,84,0,14,0,0,0,0,0,582
0,425,56,0,120,0,0,0,0,0,0,0,0,0,0,597
0,503,64,0,0,0,0,33,0,0,0,0,0,0,0,597
409,43,88,0,0,0,0,11,0,0,82,0,0,0,4,367
472,0,67,0,8,0,0,54,0,0,0,0,0,483,0,112
0,73,107,13,65,0,73,257,0,0,0,0,510,0,33,56
0,82,59,11,425,0,18,4,0,0,0,0,0,0,6,592
0,437,101,0,55,0,0,0,0,0,0,0,0,0,45,553
161,196,219,0,0,0,0,24,0,0,0,0,0,0,16,582
0,570,11,0,0,19,0,0,0,0,0,0,67,60,0,472
124,117,290,0,24,0,30,10,143,0,213,0,24,53,23,56
29,30,69,80,94,0,151,120,0,0,0,0,16,0,17,564
0,11,0,374,0,0,17,165,0,0,0,0,374,46,23,155
0,163,119,149,0,0,32,136,0,0,3,0,0,0,3,591
0,15,127,244,0,0,73,103,0,0,0,0,0,0,0,597
246,211,117,12,0,0,0,13,0,4,10,0,559,0,0,23
0,529,65,0,0,0,0,5,0,596,0,0,0,0,0,0
24,355,94,0,0,0,0,124,0,0,0,0,593,0,0,0
0,324,19,77,0,0,78,93,0,0,0,0,268,0,92,237